"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0.5 0.4 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
"1" 0.023 0.455 0.455 0.023 0.045 0 0 0 0 0 0 0 0 0 0 0 0 44
"2" 0.001 0.033 0.801 0.149 0.014 0 0.001 0 0 0 0 0 0 0 0 0 0 839
"3" 0 0.007 0.007 0.648 0.328 0 0.007 0 0.003 0 0 0 0 0 0 0 0 290
"4" 0 0 0.008 0.024 0.834 0.11 0.016 0.003 0.003 0.003 0 0 0 0 0 0 0 373
"5" 0 0 0 0.031 0.016 0.453 0.469 0.016 0 0 0 0 0 0 0 0.016 0 64
"6" 0 0 0 0 0 0.048 0.778 0.095 0.016 0.016 0.048 0 0 0 0 0 0 63
"7" 0 0 0 0 0 0 0.032 0.873 0.079 0 0.016 0 0 0 0 0 0 63
"8" 0 0 0 0 0 0 0 0.364 0.455 0.091 0 0 0.091 0 0 0 0 11
"9" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 7 54 698 325 421 73 90 67 13 5 4 0 1 0 0 1 0 0
