"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"1" 0.174 0 0.522 0.217 0.087 0 0 0 0 0 0 0 0 0 0 0 0 23
"2" 0.051 0.339 0 0.424 0.161 0.008 0 0.008 0 0.008 0 0 0 0 0 0 0 118
"3" 0.016 0.062 0.281 0 0.609 0.016 0.016 0 0 0 0 0 0 0 0 0 0 64
"4" 0 0 0.324 0.397 0 0.176 0.059 0.015 0.029 0 0 0 0 0 0 0 0 68
"5" 0 0 0.033 0.033 0.267 0 0.667 0 0 0 0 0 0 0 0 0 0 30
"6" 0 0 0.091 0.091 0 0.545 0 0.182 0.091 0 0 0 0 0 0 0 0 11
"7" 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 2
"8" 0 0 0.333 0 0.667 0 0 0 0 0 0 0 0 0 0 0 0 3
"9" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 11 44 56 85 71 20 26 4 4 1 0 0 0 0 0 0 0 0
