"chrom1" "chrom2" "chrom3" "gene1" "gene2" "gene3" "gene4" "gene5" "gene6" "gene7" "gene8" "cellnum"
1 2 1 1 2 1 2 1 1 1 3 1
2 2 2 1 2 1 2 2 2 2 2 1
2 2 2 2 1 2 1 2 2 2 2 1
2 2 2 2 1 2 2 1 2 2 2 1
2 2 2 2 1 2 2 2 2 2 2 1
2 4 2 2 1 3 2 1 2 2 2 1
2 4 2 2 2 0 2 1 2 2 2 1
2 2 2 2 2 1 2 2 2 2 2 2
2 2 2 2 2 2 1 2 2 2 2 2
2 2 2 2 2 2 2 1 1 2 2 1
2 3 2 2 2 2 2 1 2 2 2 4
2 2 1 2 2 2 2 2 0 0 2 1
2 2 2 2 2 2 2 2 1 1 2 2
2 2 2 2 2 2 2 2 1 2 2 5
2 2 2 2 2 2 2 2 2 1 2 3
2 4 2 2 2 2 2 2 2 2 2 7
2 2 3 2 2 2 2 2 2 2 3 2
2 2 2 2 2 2 2 2 2 3 1 1
2 2 2 2 2 2 2 4 2 2 2 1
2 2 2 2 2 2 4 2 2 2 4 1
2 4 2 2 2 3 2 1 2 2 1 1
2 4 2 2 2 3 2 1 2 2 2 2
2 2 2 2 2 3 2 2 2 2 2 2
2 1 2 2 2 3 3 2 2 2 2 1
2 4 2 2 3 3 2 1 2 2 2 2
2 4 2 3 1 4 2 1 2 2 2 1
2 4 2 3 2 3 2 1 2 2 2 1
2 4 2 3 2 3 2 2 2 2 2 2
2 4 2 3 2 4 1 2 2 2 2 1
3 4 3 3 2 4 2 1 2 2 2 7
2 4 2 3 2 4 2 1 3 3 2 1
2 4 2 3 2 4 2 2 2 2 2 2
2 4 2 3 2 4 2 3 2 2 2 1
2 3 2 3 3 4 1 1 2 1 2 1
2 4 2 3 3 4 2 1 1 1 2 1
2 4 2 3 3 4 2 1 1 2 3 1
2 2 2 3 3 4 2 1 2 1 2 1
2 4 2 3 3 4 2 1 2 2 1 2
4 4 4 3 3 4 2 1 2 2 2 19
2 4 2 3 3 4 2 1 2 2 3 2
2 4 2 3 3 4 2 2 2 2 1 1
2 4 2 3 3 4 2 2 2 2 2 1
2 4 2 3 4 4 2 2 2 2 4 1
2 4 2 4 3 5 2 2 2 2 3 1
4 5 4 6 6 8 4 2 4 4 3 1
