"chrom1" "chrom2" "chrom3" "gene1" "gene2" "gene3" "gene4" "gene5" "gene6" "gene7" "gene8" "cellnum"
2 2 2 1 2 2 2 2 2 2 2 1
4 4 3 1 3 2 4 4 3 4 4 1
2 4 2 2 1 2 2 2 2 2 2 2
2 1 2 2 1 2 2 2 4 4 2 1
2 1 2 2 2 1 2 1 2 2 2 1
2 2 2 2 2 1 2 2 2 2 3 1
2 2 1 2 2 2 1 2 2 2 0 1
2 2 2 2 2 2 1 2 2 2 2 3
2 1 2 2 2 2 2 1 2 1 2 1
2 2 2 2 2 2 2 2 1 1 2 1
2 4 2 2 2 2 2 2 1 3 2 1
2 2 2 2 2 2 2 2 2 1 2 4
2 2 2 2 2 2 2 2 2 2 1 1
2 4 2 2 2 2 2 2 2 2 2 16
2 2 3 2 2 2 2 2 2 2 4 1
2 2 2 2 2 2 2 2 3 2 2 1
2 2 2 2 2 2 2 2 3 3 2 1
2 2 2 2 2 2 2 2 4 2 2 1
2 2 2 2 2 2 2 2 4 5 2 1
3 4 3 2 2 2 2 4 2 3 3 1
2 2 2 2 2 2 3 2 2 2 2 2
2 2 2 2 2 2 3 2 2 2 4 1
2 2 2 2 3 2 2 4 2 2 2 1
2 2 3 2 3 2 4 4 2 2 5 1
4 2 4 2 4 1 5 5 4 3 7 1
2 1 2 3 1 17 3 1 2 2 4 1
2 2 1 3 2 11 1 2 2 3 3 1
2 2 2 3 2 19 2 2 2 2 2 1
2 2 3 4 2 2 3 2 2 2 3 1
4 4 4 4 3 7 4 4 3 3 5 1
2 2 2 5 2 11 0 2 0 2 0 1
2 4 2 5 2 17 2 1 3 3 3 1
4 4 4 5 3 8 4 4 3 4 4 1
2 4 2 6 2 15 2 4 3 4 2 1
4 4 4 6 2 17 5 4 3 4 5 1
4 2 4 6 3 9 8 3 4 4 5 1
4 4 4 6 3 12 4 4 4 4 5 1
4 4 4 6 3 13 4 4 3 4 5 1
1 4 1 6 3 20 5 3 2 2 5 1
4 4 4 6 3 25 5 4 4 4 5 1
4 4 4 6 4 17 4 4 4 4 4 1
4 4 5 6 4 25 4 2 3 4 5 1
1 1 3 6 5 18 5 4 4 7 6 1
4 4 2 7 1 8 4 3 4 3 5 1
4 4 4 7 2 9 7 2 4 4 6 1
2 1 2 7 2 10 0 2 2 2 2 1
3 3 5 7 2 10 4 3 4 4 4 1
4 4 4 7 2 12 4 4 4 4 5 1
3 3 5 7 2 12 6 2 3 4 5 1
2 2 2 7 2 15 2 2 2 2 2 1
5 2 5 7 2 16 4 5 4 5 5 1
4 4 4 7 3 7 4 4 2 3 4 1
5 4 5 7 3 8 5 4 3 5 5 1
4 4 4 7 3 11 4 4 4 4 4 1
4 4 4 7 3 12 4 4 4 4 4 1
4 4 3 7 3 12 4 5 2 4 4 1
4 2 4 7 3 13 3 4 4 4 4 1
3 2 3 7 3 13 4 3 3 4 5 1
4 4 3 7 3 13 5 4 2 2 4 1
3 4 3 7 3 13 5 4 3 3 5 1
4 4 2 7 3 13 6 4 4 4 5 1
4 4 2 7 3 14 4 4 2 3 4 1
4 4 3 7 3 14 5 5 4 4 4 1
2 2 6 7 3 15 5 5 4 4 4 1
4 4 4 7 3 16 4 4 3 4 4 1
4 4 3 7 3 18 4 4 3 4 5 1
4 4 2 7 3 23 5 4 4 4 4 1
4 2 4 7 4 10 5 4 3 3 6 1
4 4 5 8 2 14 4 5 2 4 5 1
3 3 3 8 3 8 4 3 4 4 4 1
4 4 2 8 3 9 4 3 3 3 4 1
4 4 2 8 3 13 4 4 4 4 5 1
5 2 5 8 3 15 5 4 4 4 5 1
4 2 4 8 3 16 5 4 4 4 5 1
4 4 6 8 3 17 5 4 3 3 5 1
4 4 2 8 3 17 5 4 4 4 5 1
4 4 2 8 3 20 5 4 4 4 2 1
4 4 3 8 3 20 5 4 4 4 4 1
4 4 4 8 4 16 4 6 3 3 5 1
4 4 4 12 5 13 7 8 6 8 7 1
