"chrom1" "chrom2" "chrom3" "gene1" "gene2" "gene3" "gene4" "gene5" "gene6" "gene7" "gene8" "cellnum"
1 2 1 2 1 2 0 1 1 1 2 1
2 2 2 2 1 2 1 1 1 1 2 12
2 2 2 2 1 2 1 1 1 1 4 3
2 2 2 2 1 2 1 1 2 2 0 4
2 2 2 2 1 2 2 1 2 2 0 1
2 2 2 2 1 2 2 1 2 2 1 13
2 2 2 2 2 2 2 1 2 2 2 47
2 2 2 3 2 2 2 1 2 2 2 47
2 2 2 3 2 2 2 2 2 2 2 9
2 2 2 3 2 2 2 2 2 2 3 3
2 2 2 4 2 2 2 2 2 2 3 34
2 3 2 4 2 2 2 2 2 2 4 14
4 4 3 4 2 3 2 2 2 2 4 8
3 4 3 4 2 3 3 2 2 3 1 1
3 4 3 4 2 3 3 2 2 3 2 4
3 4 3 4 2 3 3 2 2 3 3 1
3 4 3 4 2 3 3 2 2 3 4 1
3 4 3 5 2 3 3 2 2 3 4 1
3 4 3 5 2 4 3 2 3 4 1 1
3 4 3 6 2 4 3 2 3 4 1 1
4 4 4 6 3 4 3 2 3 4 2 4
4 4 4 6 3 4 4 2 3 4 2 3
4 4 4 7 3 4 4 2 4 4 2 2
4 4 4 8 3 4 4 2 4 4 4 1
4 4 4 8 4 4 4 2 4 4 4 2
4 5 4 8 4 5 4 4 4 4 4 1
4 6 4 8 4 7 5 5 4 4 6 1
