"rootgene1" "rootgene2" "rootgene3" "rootgene4" "rootgene5" "rootgene6" "rootgene7" "rootgene8" "rootcellcount" "offsgene1" "offsgene2" "offsgene3" "offsgene4" "offsgene5" "offsgene6" "offsgene7" "offsgene8" "offscellcount" "changeprobe1" "changeprobe2" "changeprobe3" "changeprobe4" "changeprobe5" "changeprobe6" "changeprobe7" "changeprobe8" "changeprobenumber" "TotalPrize"
3 2 3 2 1 1 1 3 1 4 1 2 4 2 2 2 3 1 1 1 1 1 1 1 1 0 7 1.69609350692897e-08
4 0 5 4 2 2 2 4 1 4 1 4 4 2 1 1 4 1 0 1 1 0 0 1 1 0 4 0.000407221439404076
4 1 2 4 2 1 1 2 1 4 2 3 4 2 2 2 4 1 0 1 1 0 0 1 1 1 5 1.78808659967284e-06
4 1 4 3 2 2 2 4 1 4 1 4 3 2 3 3 2 1 0 0 0 0 0 1 1 1 3 3.41407750947912e-05
4 1 4 3 2 2 2 4 1 5 1 4 3 2 2 2 4 3 1 0 0 0 0 0 0 0 1 0.019074079125525
4 1 4 4 2 2 2 4 5 4 1 4 3 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.0152866117360179
4 1 4 4 2 2 2 4 5 4 1 4 4 2 2 3 4 1 0 0 0 0 0 0 1 0 1 0.0147116051321021
4 1 4 4 2 2 2 4 5 4 1 4 4 2 3 2 4 1 0 0 0 0 0 1 0 0 1 0.00742440450663401
4 1 4 4 2 2 2 4 5 4 1 4 5 2 2 2 4 2 0 0 0 1 0 0 0 0 1 0.0186836365662441
4 1 4 4 2 2 2 4 5 5 1 4 4 2 2 2 4 6 1 0 0 0 0 0 0 0 1 0.0248667105378069
4 1 4 4 2 2 3 4 1 4 1 2 4 2 2 3 4 1 0 0 1 0 0 0 0 0 1 0.00779104626077473
4 1 4 4 2 2 3 4 1 4 1 4 5 2 2 3 4 1 0 0 0 1 0 0 0 0 1 0.0171360124088962
4 1 4 4 2 2 3 4 1 5 1 4 4 2 2 3 4 3 1 0 0 0 0 0 0 0 1 0.0228069229902575
4 1 4 5 2 2 2 4 2 5 1 4 5 2 2 2 4 3 1 0 0 0 0 0 0 0 1 0.016001744232823
4 1 4 5 2 2 3 4 1 4 2 6 4 2 3 1 3 1 0 1 1 1 0 1 1 1 6 2.86021039108147e-08
4 2 2 4 2 3 3 4 1 4 2 4 3 2 2 3 4 1 0 0 1 1 0 1 0 0 3 0.000139080696637787
5 1 4 3 2 2 2 4 3 5 1 4 3 2 2 3 3 1 0 0 0 0 0 0 1 1 2 0.000577241450803808
5 1 4 3 2 2 2 4 3 6 1 4 3 2 2 2 4 2 1 0 0 0 0 0 0 0 1 0.0813249373624657
5 1 4 3 2 2 3 3 1 5 1 4 3 2 2 3 2 1 0 0 0 0 0 0 0 1 1 0.0146408997611162
5 1 4 4 1 2 2 4 1 5 2 4 4 1 2 2 4 1 0 1 0 0 0 0 0 0 1 0.0178185751408629
5 1 4 4 2 1 2 4 1 6 1 4 4 2 1 2 4 3 1 0 0 0 0 0 0 0 1 0.104504387742278
5 1 4 4 2 2 2 4 6 5 1 4 4 1 2 2 4 1 0 0 0 0 1 0 0 0 1 0.0188405862034714
5 1 4 4 2 2 2 4 6 5 1 4 4 2 1 2 4 1 0 0 0 0 0 1 0 0 1 0.0142976841528998
5 1 4 4 2 2 2 4 6 5 1 4 4 2 2 1 4 1 0 0 0 0 0 0 1 0 1 0.00958900305732698
5 1 4 4 2 2 2 4 6 5 1 4 4 2 2 2 3 1 0 0 0 0 0 0 0 1 1 0.00964414904129343
5 1 4 4 2 2 2 4 6 6 1 4 4 2 2 2 4 8 1 0 0 0 0 0 0 0 1 0.106022611293013
5 1 4 4 2 2 3 4 3 5 1 4 4 2 3 3 4 2 0 0 0 0 0 1 0 0 1 0.00369864061381384
5 1 4 4 2 2 3 4 3 6 1 4 4 2 2 3 4 6 1 0 0 0 0 0 0 0 1 0.0972404262039161
5 1 4 4 2 3 3 4 2 3 1 4 4 2 3 3 4 1 1 0 0 0 0 0 0 0 1 0.00483205908005781
5 1 4 4 2 3 3 4 2 5 1 4 4 3 3 3 4 1 0 0 0 0 1 0 0 0 1 0.00300469837098997
5 1 4 4 2 3 3 4 2 6 1 4 4 2 3 3 4 2 1 0 0 0 0 0 0 0 1 0.0731043776950682
5 1 4 4 3 3 3 4 1 5 2 4 4 1 3 3 6 1 0 1 0 0 1 0 0 1 3 1.25551871618711e-05
5 1 4 4 3 3 3 4 1 6 1 2 5 2 1 3 5 1 1 0 1 1 1 1 0 1 6 8.53762130991e-08
5 1 4 5 2 2 2 4 3 5 1 4 5 2 2 2 5 1 0 0 0 0 0 0 0 1 1 0.00277637562998693
5 1 4 5 2 2 2 4 3 5 1 4 6 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.0188468543574189
5 1 4 5 2 2 2 4 3 6 1 4 5 2 2 2 4 3 1 0 0 0 0 0 0 0 1 0.0682256185926726
5 2 4 4 1 2 2 4 1 5 2 4 4 3 2 2 4 1 0 0 0 0 1 0 0 0 1 0.00134187470164226
5 2 4 4 1 3 3 6 1 5 3 6 5 3 4 4 6 1 0 1 1 1 1 1 1 0 6 2.306946741792e-09
5 3 6 5 3 4 4 6 1 15 1 6 4 4 5 5 3 1 1 1 0 1 1 1 1 1 7 1.1330787866112e-10
6 1 2 3 2 2 2 4 1 6 1 3 2 2 1 3 2 1 0 0 1 1 0 1 1 1 5 2.17769814336215e-06
6 1 3 2 2 1 3 2 1 6 1 4 2 1 2 2 2 1 0 0 1 0 1 1 1 0 4 0.000102050748584385
6 1 4 3 2 2 2 4 2 6 1 2 3 2 2 2 4 1 0 0 1 0 0 0 0 0 1 0.00607835712990903
6 1 4 3 2 2 2 4 2 7 2 4 2 1 1 1 2 1 1 1 0 1 1 1 1 1 7 9.61649487143655e-08
6 1 4 4 2 1 2 4 3 6 1 4 4 2 1 2 5 2 0 0 0 0 0 0 0 1 1 0.00730376282305609
6 1 4 4 2 1 2 4 3 6 1 4 5 2 1 2 4 1 0 0 0 1 0 0 0 0 1 0.0171795184367432
6 1 4 4 2 1 2 5 2 6 1 4 4 2 2 2 5 1 0 0 0 0 0 1 0 0 1 0.0145211829151175
6 1 4 4 2 2 2 4 8 6 1 3 4 2 2 2 4 1 0 0 1 0 0 0 0 0 1 0.00924501801721902
6 1 4 4 2 2 3 4 6 6 1 4 4 1 2 3 4 1 0 0 0 0 1 0 0 0 1 0.0296772847275434
6 1 4 4 2 2 3 4 6 6 1 4 4 2 2 4 4 1 0 0 0 0 0 0 1 0 1 0.0261807410128049
6 1 4 4 2 2 3 4 6 6 1 4 5 2 2 3 4 1 0 0 0 1 0 0 0 0 1 0.015985392870649
6 1 4 4 2 3 3 4 2 6 1 4 5 2 3 3 4 2 0 0 0 1 0 0 0 0 1 0.0120176581247122
6 1 4 4 2 3 3 4 2 10 1 4 4 2 3 3 4 1 1 0 0 0 0 0 0 0 1 0.0074818979304121
6 1 4 5 2 2 2 4 3 6 2 4 4 4 2 2 4 1 0 1 0 1 1 0 0 0 3 0.000190687360924982
6 1 4 5 2 2 2 4 3 10 1 4 5 2 2 2 4 1 1 0 0 0 0 0 0 0 1 0.00698257930159549
6 1 4 5 2 3 3 4 2 6 2 4 5 2 3 3 4 1 0 1 0 0 0 0 0 0 1 0.0131186610450682
6 1 4 5 2 3 3 4 2 6 2 4 5 3 3 3 5 1 0 1 0 0 1 0 0 1 3 2.35194429345523e-05
6 1 4 5 2 3 3 4 2 7 1 2 5 4 2 3 4 1 1 0 1 0 1 1 0 0 4 2.91359636965152e-06
6 2 4 4 4 2 2 4 1 6 2 4 5 4 2 2 4 1 0 0 0 1 0 0 0 0 1 0.0141368846891178
6 2 4 4 4 2 2 4 1 6 2 5 4 3 2 2 4 1 0 0 1 0 1 0 0 0 2 0.00188780108676392
6 2 4 5 3 3 3 5 1 6 2 4 5 4 5 5 4 1 0 0 0 0 1 1 1 1 4 7.77425054620368e-07
6 2 4 5 3 3 3 5 1 6 2 4 6 4 2 3 4 1 0 0 0 1 1 1 0 1 4 0.00040635684440082
6 2 4 5 4 5 5 4 1 9 2 6 6 4 2 2 4 1 1 0 1 1 0 1 1 0 5 2.76866013391968e-06
6 2 4 6 4 2 3 4 1 7 1 4 4 2 3 4 4 1 1 1 0 1 1 1 1 0 6 1.05589039588826e-06
6 2 5 4 3 2 2 4 1 6 1 5 4 3 2 2 4 1 0 1 0 0 0 0 0 0 1 0.00864986476066497
6 2 5 4 3 2 2 4 1 8 2 5 4 3 2 2 4 1 1 0 0 0 0 0 0 0 1 0.00146283683875174
