"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0.8 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"1" 0.125 0.375 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
"2" 0.002 0.045 0.884 0.05 0.018 0.002 0 0 0 0 0 0 0 0 0 0 0 602
"3" 0.018 0.009 0.044 0.673 0.239 0.018 0 0 0 0 0 0 0 0 0 0 0 113
"4" 0 0.01 0.088 0.167 0.647 0.069 0.01 0.01 0 0 0 0 0 0 0 0 0 102
"5" 0.077 0 0 0.231 0.308 0.308 0.077 0 0 0 0 0 0 0 0 0 0 13
"6" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"7" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 9 32 550 127 110 14 2 1 0 0 0 0 0 0 0 0 0 0
