"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0.8 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"1" 0.04 0 0.8 0.04 0.12 0 0 0 0 0 0 0 0 0 0 0 0 25
"2" 0.008 0.219 0 0.656 0.109 0 0.008 0 0 0 0 0 0 0 0 0 0 128
"3" 0 0.029 0.02 0 0.922 0 0.02 0 0.01 0 0 0 0 0 0 0 0 102
"4" 0 0 0.044 0.176 0 0.662 0.088 0 0.015 0.015 0 0 0 0 0 0 0 68
"5" 0 0 0 0.081 0.027 0 0.838 0.027 0 0 0 0 0 0 0 0.027 0 37
"6" 0 0 0 0 0 0.214 0 0.429 0.071 0.071 0.214 0 0 0 0 0 0 14
"7" 0 0 0 0 0 0 0.25 0 0.625 0 0.125 0 0 0 0 0 0 8
"8" 0 0 0 0 0 0 0 0.667 0 0.167 0 0 0.167 0 0 0 0 6
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 2 35 26 100 112 48 42 11 8 3 4 0 1 0 0 1 0 0
