"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3
"1" 0.1 0 0.575 0.2 0.075 0.05 0 0 0 0 0 0 0 0 0 0 0 40
"2" 0.027 0.463 0 0.369 0.107 0.027 0.007 0 0 0 0 0 0 0 0 0 0 149
"3" 0 0.038 0.372 0 0.538 0.026 0.026 0 0 0 0 0 0 0 0 0 0 78
"4" 0 0.056 0.194 0.361 0 0.222 0.069 0.028 0.069 0 0 0 0 0 0 0 0 72
"5" 0 0 0.2 0.133 0.4 0 0.2 0.067 0 0 0 0 0 0 0 0 0 15
"6" 0 0 0 0 0.5 0.1 0 0.2 0.2 0 0 0 0 0 0 0 0 10
"7" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 2
"8" 0 0 0 0 0.2 0.4 0.2 0 0 0 0.2 0 0 0 0 0 0 5
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 2
"12" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 8 76 69 91 76 27 12 5 9 0 1 1 1 0 1 0 0 0
