"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0.4 0.56 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 25
"1" 0.318 0 0.602 0.057 0.023 0 0 0 0 0 0 0 0 0 0 0 0 88
"2" 0.031 0.702 0 0.173 0.084 0 0.004 0.004 0 0 0 0 0 0 0 0 0 225
"3" 0 0.143 0.333 0 0.429 0.048 0 0.048 0 0 0 0 0 0 0 0 0 21
"4" 0.059 0.118 0.412 0.294 0 0.118 0 0 0 0 0 0 0 0 0 0 0 17
"5" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 36 173 82 50 30 3 1 2 0 0 0 0 0 0 0 0 0 0
