"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 2
"1" 0.048 0 0.762 0.143 0.048 0 0 0 0 0 0 0 0 0 0 0 0 21
"2" 0.036 0.291 0 0.5 0.173 0 0 0 0 0 0 0 0 0 0 0 0 110
"3" 0.014 0.014 0.275 0 0.623 0.058 0 0 0.014 0 0 0 0 0 0 0 0 69
"4" 0 0 0.276 0.299 0 0.322 0.057 0 0.034 0 0 0.011 0 0 0 0 0 87
"5" 0 0 0 0.071 0.571 0 0.286 0 0.071 0 0 0 0 0 0 0 0 14
"6" 0 0 0 0 0.333 0.167 0 0 0.5 0 0 0 0 0 0 0 0 6
"7" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2
"8" 0 0 0 0 0.4 0 0.1 0.1 0 0.2 0.1 0.1 0 0 0 0 0 10
"9" 0 0 0 0 0 0.05 0 0 0.9 0 0.05 0 0 0 0 0 0 20
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 6 33 59 85 78 34 11 1 26 2 2 4 0 0 0 0 0 0
