"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"1" 0.19 0 0.476 0.238 0.095 0 0 0 0 0 0 0 0 0 0 0 0 21
"2" 0.038 0.352 0 0.41 0.171 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 105
"3" 0.012 0.036 0.217 0 0.711 0.012 0.012 0 0 0 0 0 0 0 0 0 0 83
"4" 0 0 0.31 0.408 0 0.183 0.056 0.014 0.028 0 0 0 0 0 0 0 0 71
"5" 0 0 0.033 0.033 0.267 0 0.667 0 0 0 0 0 0 0 0 0 0 30
"6" 0 0 0.091 0.091 0 0.545 0 0.182 0.091 0 0 0 0 0 0 0 0 11
"7" 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 2
"8" 0 0 0.333 0 0.667 0 0 0 0 0 0 0 0 0 0 0 0 3
"9" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 9 40 54 80 90 21 26 4 4 1 0 0 0 0 0 0 0 0
