"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"1" 0.091 0 0.818 0.091 0 0 0 0 0 0 0 0 0 0 0 0 0 11
"2" 0.019 0.168 0 0.589 0.196 0.009 0.009 0 0.009 0 0 0 0 0 0 0 0 107
"3" 0.017 0.017 0.203 0 0.644 0.034 0.068 0 0.017 0 0 0 0 0 0 0 0 59
"4" 0 0.025 0.175 0.2 0 0.262 0.225 0.012 0.05 0 0.025 0.025 0 0 0 0 0 80
"5" 0 0 0.133 0.067 0.467 0 0.2 0.067 0.067 0 0 0 0 0 0 0 0 15
"6" 0 0 0.167 0.083 0.292 0.125 0 0.167 0.042 0.083 0 0.042 0 0 0 0 0 24
"7" 0 0 0 0.091 0.091 0.091 0.182 0 0.545 0 0 0 0 0 0 0 0 11
"8" 0 0 0.071 0 0.286 0 0.143 0.286 0 0.071 0 0.071 0.071 0 0 0 0 14
"9" 0 0 0 0 0 0 0 0.2 0.2 0 0.6 0 0 0 0 0 0 5
"10" 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 4
"11" 0 0 0 0 0 0.167 0 0.333 0.167 0 0.333 0 0 0 0 0 0 6
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 4 21 42 84 79 29 30 13 18 5 7 4 1 0 0 0 0 0
